member_name,role,role_start_date,role_end_date,gender,name
αποστολατος σπυριδωνα βαιτσης,στ αντιπροεδρος βουλης,15/10/2009,17/05/2012,male,baitsis_apostolatos
αποστολιδης θωμα λουκας,γ αντιπροεδρος βουλης,08/10/1996,21/04/2000,male,loukas_apostolidis
μπουρας κωνσταντινου αθανασιος,γ αντιπροεδρος βουλης,18/07/2019,28/07/2020,male,athanasios_mpouras
μωραιτης παναγιωτη γεωργιος,ε αντιπροεδρος βουλης,04/07/1989,22/04/1990,male,georgios_moraitis
νακος σταυρου αθανασιος,β αντιπροεδρος βουλης,18/05/2012,28/03/2013,male,athanasios_nakos
νεραντζης δημητριου αναστασιος,γ αντιπροεδρος βουλης,27/09/2007,14/10/2009,male,anastasios_nerantzis
νικολαιδου αρισταρχου βαρβαρα (βερα),ε αντιπροεδρος βουλης,27/09/2007,17/05/2012,female,barbara_nikolaidou
νιωτης δημητριου γρηγοριος,α αντιπροεδρος βουλης,15/10/2009,17/05/2012,male,grigorios_niotis
ξαρχας λαζαρου αθανασιος,β αντιπροεδρος βουλης,22/04/1990,22/10/1993,male,athanasios_xarxas
παγκαλος γεωργιου θεοδωρος,αντιπροεδρος κυβερνησης,06/10/2009,17/05/2012,male,theodoros_pagkalos
παντελακη αντωνιου ελπιδα,ζ αντιπροεδρος βουλης,18/05/2012,28/06/2012,female,elpida_pantelaki
παπαδημητριου δημητριου ελισαβετ (ελσα),β αντιπροεδρος βουλης,27/09/2007,14/10/2009,female,elisabet_papadimitriou
αργυρης ιωαννη ευαγγελος,γ αντιπροεδρος βουλης,15/10/2009,17/05/2012,male,euaggelos_arguris
παπανδρεου ανδρεα γεωργιος,πρωθυπουργος,06/10/2009,11/11/2011,male,georgios_papandreou
παπανδρεου ανδρεα γεωργιος,αρχηγος αξιωματικης αντιπολιτευσης,10/03/2004,06/10/2009,male,georgios_papandreou
παπανδρεου ανδρεα γεωργιος,αρχηγος κομματος:προεδρος πανελληνιου σοσιαλιστικου κινηματος,08/02/2004,18/03/2012,male,georgios_papandreou
παπανδρεου γεωργιου ανδρεας,αρχηγος αξιωματικης αντιπολιτευσης,11/04/1990,13/10/1993,male,andreas_papandreou
παπανδρεου γεωργιου ανδρεας,αρχηγος αξιωματικης αντιπολιτευσης,12/10/1989,23/11/1989,male,andreas_papandreou
παπανδρεου γεωργιου ανδρεας,αρχηγος κομματος:προεδρος πανελληνιου σοσιαλιστικου κινηματος,03/09/1974,23/06/1996,male,andreas_papandreou
παπαρηγα νικολαου αλεξανδρα,αρχηγος κομματος:γενικος γραμματεας κομμουνιστικου κομματος ελλαδος,27/02/1991,14/04/2013,female,alexandra_papariga
παπουλιας γρηγοριου καρολος,προεδρος ελληνικης δημοκρατιας,12/03/2005,13/03/2015,male,karolos_papoulias
