member_name,member_start_date,member_end_date,political_party,administrative_region,gender,name
σταθας παναγιωτη ιωαννης,2015-01-25,2015-08-20,συνασπισμος ριζοσπαστικης αριστερας,βοιωτιας,male,ioannis_stathas
σταθοπουλος παναγιωτη ιωαννης,1989-01-01,1989-06-02,νεα δημοκρατια,λακωνιας,male,ioannis_stathopoulos
σταθοπουλος παναγιωτη ιωαννης,1989-06-18,1989-10-12,νεα δημοκρατια,λακωνιας,male,ioannis_stathopoulos
σταθοπουλος παναγιωτη ιωαννης,1989-11-05,1990-03-12,νεα δημοκρατια,λακωνιας,male,ioannis_stathopoulos
σταθοπουλος παναγιωτη ιωαννης,1990-04-08,1993-09-11,νεα δημοκρατια,λακωνιας,male,ioannis_stathopoulos
σταθοπουλος παναγιωτη ιωαννης,1993-10-10,1996-08-24,νεα δημοκρατια,λακωνιας,male,ioannis_stathopoulos
αυλωνιτης νικολαου αλεξανδρος-χρηστος,2019-07-07,2023-04-22,συνασπισμος ριζοσπαστικης αριστερας,κερκυρας,male,alexandros-xristos_aulonitis
αυλωνιτης νικολαου αλεξανδρος-χρηστος,2023-05-21,2023-05-29,συνασπισμος ριζοσπαστικης αριστερας - προοδευτικη συμμαχια,κερκυρας,male,alexandros-xristos_aulonitis
αυλωνιτης νικολαου αλεξανδρος-χρηστος,2023-06-25,2023-11-13,συνασπισμος ριζοσπαστικης αριστερας - προοδευτικη συμμαχια,κερκυρας,male,alexandros-xristos_aulonitis
σταικουρας κωνσταντινου χρηστος,2007-09-16,2009-09-07,νεα δημοκρατια,φθιωτιδας,male,xristos_staikouras
σταικουρας κωνσταντινου χρηστος,2009-10-04,2012-04-11,νεα δημοκρατια,φθιωτιδας,male,xristos_staikouras
σταικουρας κωνσταντινου χρηστος,2012-05-06,2012-05-19,νεα δημοκρατια,φθιωτιδας,male,xristos_staikouras
σταικουρας κωνσταντινου χρηστος,2012-06-17,2014-12-31,νεα δημοκρατια,φθιωτιδας,male,xristos_staikouras
σταικουρας κωνσταντινου χρηστος,2015-01-25,2015-08-28,νεα δημοκρατια,φθιωτιδας,male,xristos_staikouras
σταικουρας κωνσταντινου χρηστος,2015-09-20,2019-06-11,νεα δημοκρατια,φθιωτιδας,male,xristos_staikouras
σταικουρας κωνσταντινου χρηστος,2019-07-07,2023-04-22,νεα δημοκρατια,φθιωτιδας,male,xristos_staikouras
σταικουρας κωνσταντινου χρηστος,2023-05-21,2023-05-29,νεα δημοκρατια,φθιωτιδας,male,xristos_staikouras
σταικουρας κωνσταντινου χρηστος,2023-06-25,2023-11-13,νεα δημοκρατια,φθιωτιδας,male,xristos_staikouras
σταματακη παναγιωτη ελενη,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,α' πειραιως,female,eleni_stamataki
σταματακη παναγιωτη ελενη,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,α' πειραιως,female,eleni_stamataki
σταματης αναστασιου γεωργιος,2023-05-21,2023-05-29,νεα δημοκρατια,επικρατειας,male,georgios_stamatis
σταματης αναστασιου γεωργιος,2023-06-25,2023-11-13,νεα δημοκρατια,επικρατειας,male,georgios_stamatis
σταματης γεωργιου δημητριος,1989-06-18,1989-10-12,νεα δημοκρατια,αιτωλοακαρνανιας,male,dimitrios_stamatis
σταματης γεωργιου δημητριος,1989-11-05,1990-03-12,νεα δημοκρατια,αιτωλοακαρνανιας,male,dimitrios_stamatis
σταματης γεωργιου δημητριος,1990-04-08,1993-09-11,νεα δημοκρατια,αιτωλοακαρνανιας,male,dimitrios_stamatis
σταματης γεωργιου δημητριος,2007-09-16,2009-09-07,νεα δημοκρατια,αιτωλοακαρνανιας,male,dimitrios_stamatis
σταματης γεωργιου δημητριος,2012-04-03,2012-04-11,ανεξαρτητοι ελληνες - πανος καμμενος,αιτωλοακαρνανιας,male,dimitrios_stamatis
σταματης γεωργιου δημητριος,2012-02-12,2012-04-02,ανεξαρτητοι (εκτος κομματος),αιτωλοακαρνανιας,male,dimitrios_stamatis
σταματης γεωργιου δημητριος,2009-10-04,2012-02-11,νεα δημοκρατια,αιτωλοακαρνανιας,male,dimitrios_stamatis
σταματης γεωργιου δημητριος,2012-05-06,2012-05-19,ανεξαρτητοι ελληνες - πανος καμμενος,αιτωλοακαρνανιας,male,dimitrios_stamatis
σταματης ιωαννη δημητριος,1989-01-01,1989-06-02,νεα δημοκρατια,α' θεσσαλονικης,male,dimitrios_stamatis
σταματης ιωαννη δημητριος,1989-06-18,1989-10-12,νεα δημοκρατια,α' θεσσαλονικης,male,dimitrios_stamatis
σταματης ιωαννη δημητριος,1989-11-05,1990-03-12,νεα δημοκρατια,α' θεσσαλονικης,male,dimitrios_stamatis
σταματης ιωαννη δημητριος,1990-04-08,1993-07-01,νεα δημοκρατια,α' θεσσαλονικης,male,dimitrios_stamatis
σταματης ιωαννη δημητριος,2015-01-25,2015-08-28,νεα δημοκρατια,επικρατειας,male,dimitrios_stamatis
σταματης ιωαννη δημητριος,2015-09-20,2019-06-11,νεα δημοκρατια,επικρατειας,male,dimitrios_stamatis
σταμενιτης ευαγγελου διονυσιος,2012-05-06,2012-05-19,νεα δημοκρατια,πελλης,male,dionusios_stamenitis
σταμενιτης ευαγγελου διονυσιος,2012-06-17,2014-12-31,νεα δημοκρατια,πελλης,male,dionusios_stamenitis
σταμενιτης ευαγγελου διονυσιος,2019-07-07,2023-04-22,νεα δημοκρατια,πελλης,male,dionusios_stamenitis
σταμενιτης ευαγγελου διονυσιος,2023-05-21,2023-05-29,νεα δημοκρατια,πελλης,male,dionusios_stamenitis
σταμενιτης ευαγγελου διονυσιος,2023-06-25,2023-11-13,νεα δημοκρατια,πελλης,male,dionusios_stamenitis
σταμπολιδης ιωαννη κωνσταντινος,2012-05-06,2012-05-19,κομμουνιστικο κομμα ελλαδας,κοζανης,male,konstantinos_stampolidis
