member_name,member_start_date,member_end_date,political_party,administrative_region
φαρμακη-γκεκη γεωργιου αικατερινη,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,κορινθιας
φαρμακης ιωαννη νικολαος,1989-06-18,1989-10-12,πανελληνιο σοσιαλιστικο κινημα,λαρισας
φαρμακης ιωαννη νικολαος,1990-04-08,1993-09-11,πανελληνιο σοσιαλιστικο κινημα,λαρισας
φαρμακης ιωαννη νικολαος,1993-10-10,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,λαρισας
φαρμακης ιωαννη νικολαος,1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,λαρισας
φαρμακης ιωαννη νικολαος,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,λαρισας
φασουλας ιωαννη παναγιωτης,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,α' πειραιως
φερχατ ναζηφ οζγκιουρ,2023-05-21,2023-05-29,συριζα - προοδευτικη συμμαχια,ροδοπης
βαρδαλης δημητριου αθανασιος,2015-01-25,2015-08-28,κομμουνιστικο κομμα ελλαδας,α' θεσσαλονικης
βαρδαλης δημητριου αθανασιος,2015-09-20,2019-06-11,κομμουνιστικο κομμα ελλαδας,β' θεσσαλονικης
φιλης αριστοτελη νικολαος,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,α' αθηνων
φιλης αριστοτελη νικολαος,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,α' αθηνων
φιλης αριστοτελη νικολαος,2019-07-07,2023-04-22,συνασπισμος ριζοσπαστικης αριστερας,α' αθηνων
φιλινη κωνσταντινου αννα,2007-09-16,2009-09-07,συνασπισμος ριζοσπαστικης αριστερας,α' αθηνων
φιλιππιδης φιλιππου αργυριος,1989-01-01,1989-06-02,νεα δημοκρατια,μαγνησιας
φιλιπποπουλος λεωνιδα αθανασιος,1989-01-01,1989-06-02,πανελληνιο σοσιαλιστικο κινημα,μεσσηνιας
φιλιπποπουλος λεωνιδα αθανασιος,1989-06-18,1989-10-12,πανελληνιο σοσιαλιστικο κινημα,μεσσηνιας
φιλιπποπουλος λεωνιδα αθανασιος,1989-11-05,1990-03-12,πανελληνιο σοσιαλιστικο κινημα,μεσσηνιας
φιλιπποπουλος λεωνιδα αθανασιος,1990-04-08,1993-09-11,πανελληνιο σοσιαλιστικο κινημα,μεσσηνιας
φλαμπουραρης γερασιμου αλεξανδρος,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,α' αθηνων
φλαμπουραρης γερασιμου αλεξανδρος,2019-07-07,2023-04-22,συνασπισμος ριζοσπαστικης αριστερας,επικρατειας
φλωρακης ιωαννη χαριλαος,1989-01-01,1989-06-02,κομμουνιστικο κομμα ελλαδας,β' αθηνων
φλωρακης ιωαννη χαριλαος,1989-06-18,1989-10-12,συνασπισμος της αριστερας των κινηματων και της οικολογιας,β' αθηνων
φλωρακης ιωαννη χαριλαος,1989-11-05,1990-03-12,συνασπισμος της αριστερας των κινηματων και της οικολογιας,β' αθηνων
φλωρακης ιωαννη χαριλαος,1991-07-16,1993-09-11,κομμουνιστικο κομμα ελλαδας,β' αθηνων
φλωρακης ιωαννη χαριλαος,1990-04-08,1991-07-15,συνασπισμος της αριστερας των κινηματων και της οικολογιας,β' αθηνων
φλωριδης διαμαντη γεωργιος,1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,κιλκις
φλωριδης διαμαντη γεωργιος,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,κιλκις
φλωριδης διαμαντη γεωργιος,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,κιλκις
φλωριδης διαμαντη γεωργιος,2007-09-16,2009-09-07,πανελληνιο σοσιαλιστικο κινημα,κιλκις
φλωριδης διαμαντη γεωργιος,2009-10-04,2011-06-16,πανελληνιο σοσιαλιστικο κινημα,κιλκις
βαρδαρινος αθανασιου βασιλειος,1989-06-18,1989-10-12,νεα δημοκρατια,χαλκιδικης
βαρδαρινος αθανασιου βασιλειος,1989-11-05,1990-03-12,νεα δημοκρατια,χαλκιδικης
βαρδαρινος αθανασιου βασιλειος,1990-04-08,1993-09-11,νεα δημοκρατια,χαλκιδικης
φλωρινης δημητριου αθηναιος,2000-04-09,2004-02-11,νεα δημοκρατια,χαλκιδικης
φλωρινης δημητριου αθηναιος,2007-09-16,2008-12-03,νεα δημοκρατια,χαλκιδικης
φλωρος ιωαννη νικολαος,1996-09-22,1997-07-10,πανελληνιο σοσιαλιστικο κινημα,λαρισας
φλωρος ιωαννη νικολαος,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,λαρισας
φλωρος νικολαου ιωαννης,1989-01-01,1989-06-02,πανελληνιο σοσιαλιστικο κινημα,λαρισας
φλωρος νικολαου ιωαννης,1989-06-18,1989-10-12,πανελληνιο σοσιαλιστικο κινημα,λαρισας
φλωρος νικολαου ιωαννης,1989-11-05,1990-03-12,πανελληνιο σοσιαλιστικο κινημα,λαρισας
φλωρος νικολαου ιωαννης,1990-04-08,1993-09-11,πανελληνιο σοσιαλιστικο κινημα,λαρισας
φλωρος νικολαου ιωαννης,1993-10-10,1994-12-31,πανελληνιο σοσιαλιστικο κινημα,λαρισας
φορτσακης πετρου θεοδωρος,2015-01-25,2015-08-28,νεα δημοκρατια,επικρατειας
φορτσακης πετρου θεοδωρος,2015-09-20,2019-06-11,νεα δημοκρατια,επικρατειας
φορτωμας αριστοτελη φιλιππος,2019-07-07,2023-04-22,νεα δημοκρατια,κυκλαδων
φορτωμας αριστοτελη φιλιππος,2023-05-21,2023-05-29,νεα δημοκρατια,κυκλαδων
