date,event,member_name,member_role,gov_date_from,gov_date_to,gov_name
1990-02-13,παραιτηση,τζαννη τζαννετακη,υπουργου εθνικης αμυνας και υπουργου τουρισμου,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-02-13,παραιτηση,γεωργιου γενηματα,υπουργου εθνικης οικονομιας,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-02-13,παραιτηση,γεωργιου σουφλια,υπουργου οικονομικων,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-02-13,παραιτηση,σταυρου δημα,υπουργου γεωργιας,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-02-13,παραιτηση,αποστολου κακλαμανη,υπουργου εργασιας,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-02-13,παραιτηση,κωνσταντινου σημιτη,υπουργου εθνικης παιδειας και θρησκευματων,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-02-13,παραιτηση,σωτηριου κουβελα,υπουργου πολιτισμου,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-02-13,παραιτηση,αναστασιου πεπονη,"υπουργου βιομηχανιας, ενεργειας και τεχνολογιας",1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-02-13,παραιτηση,ιωαννη βαρβιτσιωτη,υπουργου εμποριου,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-02-13,παραιτηση,αποστ.-αθαν. τσοχατζοπουλου,υπουργου μεταφορων και επικοινωνιων,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-02-13,παραιτηση,καρολου παπουλια,αναπληρωτη υπουργου εθνικης αμυνας,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-02-13,παραιτηση,ιωαννη ποττακη,αναπληρωτη υπουργου εξωτερικων,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-02-13,παραιτηση,ιωαννη δραγασακη,αναπληρωτη υπουργου εθνικης οικονομιας,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-02-13,παραιτηση,βασιλειου κοντογιαννοπουλου,αναπληρωτη υπουργου εθνικης παιδειας και θρησκευματων,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-02-13,παραιτηση,γρηγοριου γιανναρου,"αναπληρωτη υπουργου βιομηχανιας, ενεργειας και τεχνολογιας",1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-02-13,παραιτηση,ιωαννη κεφαλογιαννη,αναπληρωτη υπουργου μεταφορων & επικοινωνιων,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-02-13,διορισμος,θεοδωρου ντεγιαννη,υπουργου εθνικης αμυνας,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-02-13,διορισμος,γεωργιου κοντογεωργη,υπουργου εθνικης οικονομιας και υπουργου τουρισμου,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-02-13,διορισμος,γεωργιου αγαπητου,υπουργου οικονομικων,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-02-13,διορισμος,ιωαννη λιαππη,υπουργου γεωργιας,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-02-13,διορισμος,ιωαννη κουκιαδη,υπουργου εργασιας,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1990-02-13,διορισμος,κωνσταντινου δεσποτοπουλου,υπουργου εθνικης παιδειας και θρησκευματων,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
